Address,Crawl Depth,Content,Status Code,Status,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Keyword 1,Meta Keywords 1 Length,H1-1,H1-1 length,H1-2,H1-2 length,H2-1,H2-1 length,H2-2,H2-2 length,Canonical Link Element 1,Size,Word Count,Text Ratio,Inlinks,Unique Inlinks,% of Total,Outlinks,Unique Outlinks,External Outlinks,Unique External Outlinks,Response Time,Last Modified,Redirect URI,Redirect Type,URL Encoded Address
"DEGREE PROGRAMS: 77 URLs (89 initially, 12 removed)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/,1,text/html;charset=UTF-8,200,OK,Degree Programs - Health Policy and Management - Departments - Johns Hopkins Bloomberg School of Public Health,110,944,,0,0,"bloomberg school of public health, school of public health, johns hopkins, departments, academics, research, centers, admissions, preparedness, infectious diseases,Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health,academic departments,Biochemistry and Molecular Biology,Health Policy and Management,Biostatistics,International Health,Environmental Health Sciences,Mental Health,Epidemiology,Molecular Microbiology and Immunology,Health, Behavior & Society,Population,Family and Reproductive Health,Population and family health sciences, Infectious diseases, Johns Hopkins University, Bloomberg School of Public Health, departments, Health Policy and Management, MHS in Health Finance and Management, MHS in Health Policy and Management, healthcare management, hospital management, hospital administration, health policy and management, master of health sciences, health services research, health economics, healthcare finance, hospital finance, health outcomes, outcomes research, bioethics, health policy, health practice, public health policy, injury research, school of public health, risk sciences",1124,Degree Programs,15,,0,,0,,0,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/index.html,50170,646,9.055934,318,223,29.46,151,120,47,29,2.655,,,,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/
https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/drph-in-health-policy-and-management/,2,text/html;charset=UTF-8,200,OK,Institutes - Health Policy and Management - Departments - Johns Hopkins Bloomberg School of Public Health,105,874,,0,0,"bloomberg school of public health, school of public health, johns hopkins, departments, academics, research, centers, admissions, preparedness, infectious diseases,Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health,academic departments,Biochemistry and Molecular Biology,Health Policy and Management,Biostatistics,International Health,Environmental Health Sciences,Mental Health,Epidemiology,Molecular Microbiology and Immunology,Health, Behavior & Society,Population,Family and Reproductive Health,Population and family health sciences, Infectious diseases, Johns Hopkins University, Bloomberg School of Public Health, departments, Health Policy and Management, MHS in Health Finance and Management, MHS in Health Policy and Management, healthcare management, hospital management, hospital administration, health policy and management, master of health sciences, health services research, health economics, healthcare finance, hospital finance, health outcomes, outcomes research, bioethics, health policy, health practice, public health policy, injury research, school of public health, risk sciences",1124,Health Policy and Management Concentration of the School-wide DrPH Program,74,,0,,0,,0,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/drph-in-health-policy-and-management/index.html,54478,1176,14.647354,98,89,11.76,151,124,47,29,1.846,,,,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/drph-in-health-policy-and-management/
https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/drph-in-health-policy-and-management/admissions-requirements.html,2,text/html;charset=UTF-8,200,OK,Admissions Requirements - DrPH in Health Policy and Management - Degree Programs - Health Policy and Management - Departments - Johns Hopkins Bloomberg School of Public Health,175,1503,,0,0,"bloomberg school of public health, school of public health, johns hopkins, departments, academics, research, centers, admissions, preparedness, infectious diseases,Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health,academic departments,Biochemistry and Molecular Biology,Health Policy and Management,Biostatistics,International Health,Environmental Health Sciences,Mental Health,Epidemiology,Molecular Microbiology and Immunology,Health, Behavior & Society,Population,Family and Reproductive Health,Population and family health sciences, Infectious diseases, Johns Hopkins University, Bloomberg School of Public Health, departments, Health Policy and Management, MHS in Health Finance and Management, MHS in Health Policy and Management, healthcare management, hospital management, hospital administration, health policy and management, master of health sciences, health services research, health economics, healthcare finance, hospital finance, health outcomes, outcomes research, bioethics, health policy, health practice, public health policy, injury research, school of public health, risk sciences",1124,DrPH Admissions Requirements,28,,0,Prerequisite courses for the School-wide DrPH Program,53,GRE/GMAT Requirements,21,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/drph-in-health-policy-and-management/admissions-requirements.html,50416,1076,14.780211,10,8,1.06,148,120,46,29,1.642,,,,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/drph-in-health-policy-and-management/admissions-requirements.html
https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/drph-in-health-policy-and-management/financial-aid-and-tuition.html,2,text/html;charset=UTF-8,200,OK,Financial Aid and Tuition - Master of Science in Public Health in Health Policy - Degree Programs - Health Policy and Management - Departments - Johns Hopkins Bloomberg School of Public Health,192,1576,,0,0,"bloomberg school of public health, school of public health, johns hopkins, departments, academics, research, centers, admissions, preparedness, infectious diseases,Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health,academic departments,Biochemistry and Molecular Biology,Health Policy and Management,Biostatistics,International Health,Environmental Health Sciences,Mental Health,Epidemiology,Molecular Microbiology and Immunology,Health, Behavior & Society,Population,Family and Reproductive Health,Population and family health sciences, Infectious diseases, Johns Hopkins University, Bloomberg School of Public Health, departments, Health Policy and Management, MHS in Health Finance and Management, MHS in Health Policy and Management, healthcare management, hospital management, hospital administration, health policy and management, master of health sciences, health services research, health economics, healthcare finance, hospital finance, health outcomes, outcomes research, bioethics, health policy, health practice, public health policy, injury research, school of public health, risk sciences",1124,Financial Aid & Tuition,23,,0,,0,,0,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/drph-in-health-policy-and-management/financial-aid-and-tuition.html,47992,666,9.767025,10,8,1.06,151,122,46,29,1.95,,,,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/drph-in-health-policy-and-management/financial-aid-and-tuition.html
https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/drph-in-health-policy-and-management/index2.html,1,text/html;charset=UTF-8,200,OK,Institutes - Health Policy and Management - Departments - Johns Hopkins Bloomberg School of Public Health,105,874,,0,0,"bloomberg school of public health, school of public health, johns hopkins, departments, academics, research, centers, admissions, preparedness, infectious diseases,Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health,academic departments,Biochemistry and Molecular Biology,Health Policy and Management,Biostatistics,International Health,Environmental Health Sciences,Mental Health,Epidemiology,Molecular Microbiology and Immunology,Health, Behavior & Society,Population,Family and Reproductive Health,Population and family health sciences, Infectious diseases, Johns Hopkins University, Bloomberg School of Public Health, departments, Health Policy and Management, MHS in Health Finance and Management, MHS in Health Policy and Management, healthcare management, hospital management, hospital administration, health policy and management, master of health sciences, health services research, health economics, healthcare finance, hospital finance, health outcomes, outcomes research, bioethics, health policy, health practice, public health policy, injury research, school of public health, risk sciences",1124,Health Policy and Management Concentration of the School-wide DrPH Program,74,,0,,0,,0,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/drph-in-health-policy-and-management/index2.html,54332,1145,14.329627,6,5,0.66,151,124,47,29,3.714,,,,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/drph-in-health-policy-and-management/index2.html
https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/drph-in-health-policy-and-management/jhu-tsinghua-drph-program,2,text/html;charset=UTF-8,200,OK,JHU-Tsinghua DrPH Program,25,238,,0,0,"bloomberg school of public health, school of public health, johns hopkins, departments, academics, research, centers, admissions, preparedness, infectious diseases,Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health,academic departments,Biochemistry and Molecular Biology,Health Policy and Management,Biostatistics,International Health,Environmental Health Sciences,Mental Health,Epidemiology,Molecular Microbiology and Immunology,Health, Behavior & Society,Population,Family and Reproductive Health,Population and family health sciences, Infectious diseases, Johns Hopkins University, Bloomberg School of Public Health, departments, Health Policy and Management, MHS in Health Finance and Management, MHS in Health Policy and Management, healthcare management, hospital management, hospital administration, health policy and management, master of health sciences, health services research, health economics, healthcare finance, hospital finance, health outcomes, outcomes research, bioethics, health policy, health practice, public health policy, injury research, school of public health, risk sciences",1124,JHU-Tsinghua DrPH Program,25,,0,,0,,0,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/drph-in-health-policy-and-management/jhu-tsinghua-drph-program,49488,752,10.824575,5,4,0.53,149,122,47,29,1.944,,,,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/drph-in-health-policy-and-management/jhu-tsinghua-drph-program
https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/drph-in-health-policy-and-management/legacy-drph-hpm,2,text/html;charset=UTF-8,200,OK,Legacy DrPH in Health Policy and Management,43,381,,0,0,"bloomberg school of public health, school of public health, johns hopkins, departments, academics, research, centers, admissions, preparedness, infectious diseases,Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health,academic departments,Biochemistry and Molecular Biology,Health Policy and Management,Biostatistics,International Health,Environmental Health Sciences,Mental Health,Epidemiology,Molecular Microbiology and Immunology,Health, Behavior & Society,Population,Family and Reproductive Health,Population and family health sciences, Infectious diseases, Johns Hopkins University, Bloomberg School of Public Health, departments, Health Policy and Management, MHS in Health Finance and Management, MHS in Health Policy and Management, healthcare management, hospital management, hospital administration, health policy and management, master of health sciences, health services research, health economics, healthcare finance, hospital finance, health outcomes, outcomes research, bioethics, health policy, health practice, public health policy, injury research, school of public health, risk sciences",1124,Legacy DrPH in Health Policy and Management,43,,0,,0,,0,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/drph-in-health-policy-and-management/legacy-drph-hpm,73300,3241,32.203667,5,4,0.53,149,122,47,29,1.722,,,,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/drph-in-health-policy-and-management/legacy-drph-hpm
https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/drph-in-health-policy-and-management/schoolwide-drph-hpm-program.html,2,text/html;charset=UTF-8,200,OK,Schoolwide DrPH in HPM Program,30,279,,0,0,"bloomberg school of public health, school of public health, johns hopkins, departments, academics, research, centers, admissions, preparedness, infectious diseases,Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health,academic departments,Biochemistry and Molecular Biology,Health Policy and Management,Biostatistics,International Health,Environmental Health Sciences,Mental Health,Epidemiology,Molecular Microbiology and Immunology,Health, Behavior & Society,Population,Family and Reproductive Health,Population and family health sciences, Infectious diseases, Johns Hopkins University, Bloomberg School of Public Health, departments, Health Policy and Management, MHS in Health Finance and Management, MHS in Health Policy and Management, healthcare management, hospital management, hospital administration, health policy and management, master of health sciences, health services research, health economics, healthcare finance, hospital finance, health outcomes, outcomes research, bioethics, health policy, health practice, public health policy, injury research, school of public health, risk sciences",1124,Health Policy and Management Concentration of the School-wide DrPH Program,74,,0,,0,,0,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/drph-in-health-policy-and-management/schoolwide-drph-hpm-program.html,67048,2433,26.803293,6,5,0.66,149,122,47,29,1.814,,,,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/drph-in-health-policy-and-management/schoolwide-drph-hpm-program.html
https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/master-of-health-administration/,2,text/html;charset=UTF-8,200,OK,Master of Health Administration - Degree Programs - Health Policy and Management - Departments - Johns Hopkins Bloomberg School of Public Health,144,1211,,0,0,"bloomberg school of public health, school of public health, johns hopkins, departments, academics, research, centers, admissions, preparedness, infectious diseases,Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health,academic departments,Biochemistry and Molecular Biology,Health Policy and Management,Biostatistics,International Health,Environmental Health Sciences,Mental Health,Epidemiology,Molecular Microbiology and Immunology,Health, Behavior & Society,Population,Family and Reproductive Health,Population and family health sciences, Infectious diseases, Johns Hopkins University, Bloomberg School of Public Health, departments, Health Policy and Management, MHS in Health Finance and Management, MHS in Health Policy and Management, healthcare management, hospital management, hospital administration, health policy and management, master of health sciences, health services research, health economics, healthcare finance, hospital finance, health outcomes, outcomes research, bioethics, health policy, health practice, public health policy, injury research, school of public health, risk sciences",1124,Master of Health Administration,31,,0,,0,,0,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/master-of-health-administration/index.html,62496,1004,11.32468,116,91,12.02,170,133,50,32,2.089,,,,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/master-of-health-administration/
https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/master-of-health-administration/admissions-requirements.html,3,text/html;charset=UTF-8,200,OK,Admissions Requirements - Master of Health Administration - Degree Programs - Health Policy and Management - Departments - Johns Hopkins Bloomberg School of Public Health,170,1436,,0,0,"bloomberg school of public health, school of public health, johns hopkins, departments, academics, research, centers, admissions, preparedness, infectious diseases,Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health,academic departments,Biochemistry and Molecular Biology,Health Policy and Management,Biostatistics,International Health,Environmental Health Sciences,Mental Health,Epidemiology,Molecular Microbiology and Immunology,Health, Behavior & Society,Population,Family and Reproductive Health,Population and family health sciences, Infectious diseases, Johns Hopkins University, Bloomberg School of Public Health, departments, Health Policy and Management, MHS in Health Finance and Management, MHS in Health Policy and Management, healthcare management, hospital management, hospital administration, health policy and management, master of health sciences, health services research, health economics, healthcare finance, hospital finance, health outcomes, outcomes research, bioethics, health policy, health practice, public health policy, injury research, school of public health, risk sciences",1124,MHA Application Requirements,28,,0,GRE/GMAT Requirements,21,English Language Proficiency Tests,34,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/master-of-health-administration/admissions-requirements.html,55768,1380,17.088789,17,15,1.98,161,132,52,35,1.341,,,,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/master-of-health-administration/admissions-requirements.html
https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/master-of-health-administration/application-deadline.html,3,text/html;charset=UTF-8,200,OK,Application Deadline - Master of Health Administration - Degree Programs - Health Policy and Management - Departments - Johns Hopkins Bloomberg School of Public Health,167,1391,,0,0,"bloomberg school of public health, school of public health, johns hopkins, departments, academics, research, centers, admissions, preparedness, infectious diseases,Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health,academic departments,Biochemistry and Molecular Biology,Health Policy and Management,Biostatistics,International Health,Environmental Health Sciences,Mental Health,Epidemiology,Molecular Microbiology and Immunology,Health, Behavior & Society,Population,Family and Reproductive Health,Population and family health sciences, Infectious diseases, Johns Hopkins University, Bloomberg School of Public Health, departments, Health Policy and Management, MHS in Health Finance and Management, MHS in Health Policy and Management, healthcare management, hospital management, hospital administration, health policy and management, master of health sciences, health services research, health economics, healthcare finance, hospital finance, health outcomes, outcomes research, bioethics, health policy, health practice, public health policy, injury research, school of public health, risk sciences",1124,Application Deadline,20,,0,,0,,0,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/master-of-health-administration/application-deadline.html,49504,683,9.871106,17,15,1.98,158,130,45,28,1.395,,,,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/master-of-health-administration/application-deadline.html
https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/master-of-health-administration/careers.html,3,text/html;charset=UTF-8,200,OK,Careers - Master of Health Administration - Degree Programs - Health Policy and Management - Departments - Johns Hopkins Bloomberg School of Public Health,154,1291,,0,0,"bloomberg school of public health, school of public health, johns hopkins, departments, academics, research, centers, admissions, preparedness, infectious diseases,Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health,academic departments,Biochemistry and Molecular Biology,Health Policy and Management,Biostatistics,International Health,Environmental Health Sciences,Mental Health,Epidemiology,Molecular Microbiology and Immunology,Health, Behavior & Society,Population,Family and Reproductive Health,Population and family health sciences, Infectious diseases, Johns Hopkins University, Bloomberg School of Public Health, departments, Health Policy and Management, MHS in Health Finance and Management, MHS in Health Policy and Management, healthcare management, hospital management, hospital administration, health policy and management, master of health sciences, health services research, health economics, healthcare finance, hospital finance, health outcomes, outcomes research, bioethics, health policy, health practice, public health policy, injury research, school of public health, risk sciences",1124,Careers,7,,0,,0,,0,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/master-of-health-administration/careers.html,50896,876,12.204755,17,15,1.98,158,130,45,28,1.304,,,,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/master-of-health-administration/careers.html
https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/master-of-health-administration/competencies,3,text/html;charset=UTF-8,200,OK,MHA Competency Model - Master of Health Administration - Degree Programs - Health Policy and management - Departments - Johns Hopkins Bloomberg School of Public Health,167,1427,,0,0,"bloomberg school of public health, school of public health, johns hopkins, departments, academics, research, centers, admissions, preparedness, infectious diseases,Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health,academic departments,Biochemistry and Molecular Biology,Health Policy and Management,Biostatistics,International Health,Environmental Health Sciences,Mental Health,Epidemiology,Molecular Microbiology and Immunology,Health, Behavior & Society,Population,Family and Reproductive Health,Population and family health sciences, Infectious diseases, Johns Hopkins University, Bloomberg School of Public Health, departments, Health Policy and Management, MHS in Health Finance and Management, MHS in Health Policy and Management, healthcare management, hospital management, hospital administration, health policy and management, master of health sciences, health services research, health economics, healthcare finance, hospital finance, health outcomes, outcomes research, bioethics, health policy, health practice, public health policy, injury research, school of public health, risk sciences",1124,COMPETENCY MODEL,16,,0,,0,,0,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/master-of-health-administration/competencies,59116,1388,17.258762,17,15,1.98,158,130,45,28,1.267,,,,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/master-of-health-administration/competencies
https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/master-of-health-administration/curriculum.html,3,text/html;charset=UTF-8,200,OK,Curriculum - Master of Health Administration - Degree Programs - Health Policy and Management - Departments - Johns Hopkins Bloomberg School of Public Health,157,1314,,0,0,"bloomberg school of public health, school of public health, johns hopkins, departments, academics, research, centers, admissions, preparedness, infectious diseases,Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health,academic departments,Biochemistry and Molecular Biology,Health Policy and Management,Biostatistics,International Health,Environmental Health Sciences,Mental Health,Epidemiology,Molecular Microbiology and Immunology,Health, Behavior & Society,Population,Family and Reproductive Health,Population and family health sciences, Infectious diseases, Johns Hopkins University, Bloomberg School of Public Health, departments, Health Policy and Management, MHS in Health Finance and Management, MHS in Health Policy and Management, healthcare management, hospital management, hospital administration, health policy and management, master of health sciences, health services research, health economics, healthcare finance, hospital finance, health outcomes, outcomes research, bioethics, health policy, health practice, public health policy, injury research, school of public health, risk sciences",1124,MHA Program Curriculum AY 17/18,31,,0,,0,,0,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/master-of-health-administration/curriculum.html,50817,826,11.985122,17,15,1.98,158,130,45,28,1.185,,,,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/master-of-health-administration/curriculum.html
https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/master-of-health-administration/faqs.html,3,text/html;charset=UTF-8,200,OK,FAQs - Master of Health Administration - Degree Programs - Health Policy and Management - Departments - Johns Hopkins Bloomberg School of Public Health,151,1273,,0,0,"bloomberg school of public health, school of public health, johns hopkins, departments, academics, research, centers, admissions, preparedness, infectious diseases,Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health,academic departments,Biochemistry and Molecular Biology,Health Policy and Management,Biostatistics,International Health,Environmental Health Sciences,Mental Health,Epidemiology,Molecular Microbiology and Immunology,Health, Behavior & Society,Population,Family and Reproductive Health,Population and family health sciences, Infectious diseases, Johns Hopkins University, Bloomberg School of Public Health, departments, Health Policy and Management, MHS in Health Finance and Management, MHS in Health Policy and Management, healthcare management, hospital management, hospital administration, health policy and management, master of health sciences, health services research, health economics, healthcare finance, hospital finance, health outcomes, outcomes research, bioethics, health policy, health practice, public health policy, injury research, school of public health, risk sciences",1124,FAQs,4,,0,When is the application deadline?,33,Is an interview required?,25,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/master-of-health-administration/faqs.html,59179,1776,19.87122,38,15,1.98,180,132,45,28,1.411,,,,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/master-of-health-administration/faqs.html
https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/master-of-health-administration/financial-aid-and-tuition.html,3,text/html;charset=UTF-8,200,OK,Financial Aid and Tuition - Master of Health Administration - Degree Programs - Health Policy and Management - Departments - Johns Hopkins Bloomberg School of Public Health,172,1424,,0,0,"bloomberg school of public health, school of public health, johns hopkins, departments, academics, research, centers, admissions, preparedness, infectious diseases,Johns Hopkins University,Johns Hopkins Bloomberg School of Public Health,academic departments,Biochemistry and Molecular Biology,Health Policy and Management,Biostatistics,International Health,Environmental Health Sciences,Mental Health,Epidemiology,Molecular Microbiology and Immunology,Health, Behavior & Society,Population,Family and Reproductive Health,Population and family health sciences, Infectious diseases, Johns Hopkins University, Bloomberg School of Public Health, departments, Health Policy and Management, MHS in Health Finance and Management, MHS in Health Policy and Management, healthcare management, hospital management, hospital administration, health policy and management, master of health sciences, health services research, health economics, healthcare finance, hospital finance, health outcomes, outcomes research, bioethics, health policy, health practice, public health policy, injury research, school of public health, risk sciences",1124,Financial Aid & Tuition,23,,0,,0,,0,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/master-of-health-administration/financial-aid-and-tuition.html,50188,733,10.278176,17,15,1.98,161,133,45,28,1.188,,,,https://www.jhsph.edu/departments/health-policy-and-management/degree-programs/master-of-health-administration/financial-aid-and-tuition.html
